id,name,insert_user,insert_time,update_user,update_time
1,Óþekkt,kjartan,2016-05-20T17:57:05Z,NA,NA
2,Eyravistir,kjartan,2016-06-08T12:59:40Z,NA,NA
3,Hraunavistir,kjartan,2016-06-08T12:59:40Z,NA,NA
4,Melavistir,kjartan,2016-06-08T12:59:40Z,NA,NA
5,Moldir,kjartan,2016-06-08T12:59:40Z,NA,NA
6,Skriðuvistir,kjartan,2016-06-08T12:59:40Z,NA,NA
7,Strandvistir,kjartan,2016-06-08T12:59:40Z,NA,NA
8,Graslendisvistir,kjartan,2016-06-08T12:59:40Z,NA,NA
9,Móavistir,kjartan,2016-06-08T12:59:40Z,NA,NA
10,Mosavistir,kjartan,2016-06-08T12:59:40Z,NA,NA
11,Mýravistir,kjartan,2016-06-08T12:59:40Z,NA,NA
12,Skóglendi,kjartan,2016-06-08T12:59:40Z,NA,NA
13,Óflokkað,kjartan,2016-06-08T12:59:40Z,NA,NA
