id,scale_id,code,value,comments,insert_user,insert_time,update_user,update_time
2,1,+,0.8,NA,asrun,2013-10-03T10:41:15Z,NA,NA
3,1,1,3,NA,asrun,2013-10-03T10:41:25Z,NA,NA
4,1,2,15,NA,asrun,2013-10-03T10:41:35Z,NA,NA
5,1,3,38,NA,asrun,2013-10-03T10:41:45Z,NA,NA
6,1,4,63,NA,asrun,2013-10-03T10:41:55Z,NA,NA
7,1,5,88,NA,asrun,2013-10-03T10:42:04Z,NA,NA
12,1,0,0,NA,asrun,2013-11-11T11:53:31Z,NA,NA
1,1,•,0.3,NA,asrun,2013-10-03T10:41:13Z,kjartan,2014-02-25T01:42:42Z
21,1,0.5,0.5,NA,kjartan,2014-05-28T15:12:10Z,NA,NA
22,5,+,0.5,NA,asrun,2015-01-08T15:43:48Z,NA,NA
24,5,1,3.6,NA,asrun,2015-01-08T15:44:49Z,NA,NA
25,5,2,9.4,NA,asrun,2015-01-08T15:44:59Z,NA,NA
26,5,3,18.8,NA,asrun,2015-01-08T15:45:09Z,NA,NA
27,5,4,37.5,NA,asrun,2015-01-08T15:45:19Z,NA,NA
28,5,5,75,NA,asrun,2015-01-08T15:45:29Z,NA,NA
32,6,2,1.5,NA,asrun,2015-01-08T16:09:49Z,asrun,2015-01-22T14:20:40Z
31,6,1,2,NA,asrun,2015-01-08T16:09:39Z,asrun,2015-01-22T14:21:20Z
33,6,3,1,NA,asrun,2015-01-08T16:09:59Z,asrun,2015-01-22T14:23:00Z
36,5,0,0,NA,asrun,2015-02-19T12:21:29Z,NA,NA
16,4,1,1,NA,asrun,2014-01-16T13:49:23Z,asrun,2016-05-30T11:22:35Z
18,4,2,2,NA,asrun,2014-01-16T13:50:43Z,asrun,2016-05-30T11:23:02Z
15,4,3,3,NA,kjartan,2014-01-15T10:51:11Z,asrun,2016-05-30T11:23:05Z
51,8,95-100,100,NA,olgakolbrun,2020-11-27T16:16:03Z,olgakolbrun,2020-11-27T16:37:35Z
50,8,85-95,90,NA,olgakolbrun,2020-11-27T16:15:59Z,olgakolbrun,2020-11-27T16:38:05Z
49,8,75-85,80,NA,olgakolbrun,2020-11-27T16:15:53Z,olgakolbrun,2020-11-27T16:38:19Z
48,8,65-75,70,NA,olgakolbrun,2020-11-27T16:15:49Z,olgakolbrun,2020-11-27T16:38:25Z
47,8,55-65,60,NA,olgakolbrun,2020-11-27T16:15:45Z,olgakolbrun,2020-11-27T16:38:32Z
46,8,45-55,50,NA,olgakolbrun,2020-11-27T16:15:35Z,olgakolbrun,2020-11-27T16:38:35Z
45,8,35-45,40,NA,olgakolbrun,2020-11-27T16:15:33Z,olgakolbrun,2020-11-27T16:38:51Z
44,8,25-35,30,NA,olgakolbrun,2020-11-27T16:15:27Z,olgakolbrun,2020-11-27T16:39:02Z
43,8,15-25,20,NA,olgakolbrun,2020-11-27T16:15:21Z,olgakolbrun,2020-11-27T16:39:05Z
42,8,7.5-15,10,NA,olgakolbrun,2020-11-27T16:15:16Z,olgakolbrun,2020-11-27T16:39:29Z
39,8,0.1-1.5,1,NA,olgakolbrun,2020-11-27T16:14:35Z,olgakolbrun,2020-11-27T16:40:28Z
53,8,0,0,NA,olgakolbrun,2020-11-27T16:41:46Z,NA,NA
40,8,1.5-2.5,2,NA,olgakolbrun,2020-11-27T16:15:05Z,olgakolbrun,2020-12-02T11:03:03Z
41,8,2.5-7.5,5,NA,olgakolbrun,2020-11-27T16:15:12Z,olgakolbrun,2020-12-02T11:03:20Z
37,7,Present,1,NA,pawel,2020-06-09T09:27:09Z,elly,2021-03-24T10:01:34Z
38,7,Absent,0,NA,pawel,2020-06-09T09:27:35Z,elly,2021-03-24T10:01:34Z
