id,trail_id,width_cm,depth_cm,comments,insert_user,insert_time,update_user,update_time
2,1,42,9,NA,olgakolbrun,2020-11-27T12:55:16Z,NA,NA
3,1,70,5,NA,olgakolbrun,2020-11-27T12:55:22Z,NA,NA
4,1,55,5,NA,olgakolbrun,2020-11-27T12:55:28Z,NA,NA
5,1,35,2,NA,olgakolbrun,2020-11-27T12:55:34Z,NA,NA
6,1,35,2,NA,olgakolbrun,2020-11-27T12:55:35Z,NA,NA
7,1,35,10,NA,olgakolbrun,2020-11-27T12:55:45Z,NA,NA
1,1,60,8,Mælingar voru gerðar yfir alla jarðhitavistgerðina en ekki bara á sniði. Ætti að breyta og gera bara á sniðinu á 1-2 m fresti.,olgakolbrun,2020-11-27T12:55:05Z,olgakolbrun,2020-11-27T12:56:05Z
8,2,32,7,NA,olgakolbrun,2020-11-27T15:40:31Z,NA,NA
9,2,34,7,NA,olgakolbrun,2020-11-27T15:40:35Z,NA,NA
10,2,30,2,NA,olgakolbrun,2020-11-27T15:40:45Z,NA,NA
11,2,50,2,NA,olgakolbrun,2020-11-27T15:40:50Z,NA,NA
12,2,45,4,NA,olgakolbrun,2020-11-27T15:40:56Z,NA,NA
13,2,38,3,NA,olgakolbrun,2020-11-27T15:41:02Z,NA,NA
15,3,160,0,NA,nna.stella,2021-04-12T14:39:05Z,NA,NA
16,3,100,0,NA,nna.stella,2021-04-12T14:44:05Z,NA,NA
17,3,110,0,NA,nna.stella,2021-04-12T14:44:35Z,NA,NA
18,3,200,0,NA,nna.stella,2021-04-12T14:45:05Z,NA,NA
19,3,130,4,NA,nna.stella,2021-04-12T14:47:05Z,NA,NA
20,3,80,2,NA,nna.stella,2021-04-12T14:47:20Z,NA,NA
21,4,240,4,Mæld dýpt var 3.5 ,nna.stella,2021-04-13T08:49:38Z,NA,NA
22,4,200,4,"Mæld dýpt var 3,5",nna.stella,2021-04-13T08:51:07Z,NA,NA
23,4,210,9,NA,nna.stella,2021-04-13T08:51:34Z,NA,NA
24,4,175,8,NA,nna.stella,2021-04-13T08:51:37Z,NA,NA
25,4,195,6,NA,nna.stella,2021-04-13T08:51:59Z,NA,NA
26,4,200,5,NA,nna.stella,2021-04-13T08:52:07Z,NA,NA
27,5,156,13,NA,olgakolbrun,2022-05-24T10:04:31Z,NA,NA
28,5,131,16,NA,olgakolbrun,2022-05-24T10:05:01Z,NA,NA
29,5,126,2,NA,olgakolbrun,2022-05-24T10:05:08Z,NA,NA
30,5,128,3,NA,olgakolbrun,2022-05-24T10:05:15Z,NA,NA
31,5,130,22,NA,olgakolbrun,2022-05-24T10:05:21Z,NA,NA
32,5,135,5,NA,olgakolbrun,2022-05-24T10:05:25Z,NA,NA
34,7,150,3,NA,olgakolbrun,2022-05-27T10:04:00Z,NA,NA
33,7,240,8,NA,olgakolbrun,2022-05-27T10:03:30Z,olgakolbrun,2022-05-27T10:04:12Z
35,7,95,4,NA,olgakolbrun,2022-05-27T10:04:25Z,NA,NA
36,7,80,2,NA,olgakolbrun,2022-05-27T10:04:30Z,NA,NA
37,7,90,2,NA,olgakolbrun,2022-05-27T10:04:37Z,NA,NA
38,7,115,2,NA,olgakolbrun,2022-05-27T10:04:43Z,NA,NA
39,8,200,9,NA,olgakolbrun,2022-05-27T13:45:30Z,NA,NA
40,8,250,8,NA,olgakolbrun,2022-05-27T13:45:39Z,NA,NA
41,8,280,7,NA,olgakolbrun,2022-05-27T13:45:46Z,NA,NA
42,8,280,12,NA,olgakolbrun,2022-05-27T13:45:52Z,NA,NA
43,8,280,7,NA,olgakolbrun,2022-05-27T13:45:58Z,NA,NA
44,8,250,4,NA,olgakolbrun,2022-05-27T13:46:00Z,NA,NA
45,9,170,2,NA,nna.stella,2024-10-31T09:07:57Z,NA,NA
46,9,105,1,NA,nna.stella,2024-10-31T09:08:04Z,NA,NA
47,9,132,1,NA,nna.stella,2024-10-31T09:08:15Z,NA,NA
48,9,160,1,NA,nna.stella,2024-10-31T09:08:24Z,NA,NA
49,9,128,1,NA,nna.stella,2024-10-31T09:08:34Z,NA,NA
50,9,168,3,NA,nna.stella,2024-10-31T09:08:48Z,NA,NA
51,10,240,6,NA,nna.stella,2024-10-31T10:57:02Z,NA,NA
52,10,220,4,NA,nna.stella,2024-10-31T10:57:04Z,NA,NA
53,10,188,6,NA,nna.stella,2024-10-31T10:57:22Z,NA,NA
54,10,180,5,NA,nna.stella,2024-10-31T10:57:32Z,NA,NA
55,10,190,4,NA,nna.stella,2024-10-31T10:57:34Z,NA,NA
